Title,Published_date,Duration,Views,Likes,Comments
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LÝ DO BIẾN MẤT | OFFICIAL EPISODE 44,2022-04-07,287.0,134541,6014,364
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | THÂN PHẬN THẬT | OFFICIAL EPISODE 43,2022-03-31,285.0,131196,5638,313
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | NGẦM THỪA NHẬN | OFFICIAL EPISODE 42,2022-03-24,317.0,134148,6126,384
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TRAO ĐỔI THÔNG TIN | OFFICIAL EPISODE 41,2022-03-17,331.0,123698,5994,370
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | SAO CHUYỆN ĐÓ CÓ THỂ XẢY RA ĐƯỢC! | OFFICIAL EPISODE 40,2022-02-24,297.0,135341,6404,408
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TAI NẠN BẤT NGỜ | OFFICIAL EPISODE 39,2022-02-17,282.0,128296,6242,278
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | 2 CHÚ GẤU | OFFICIAL EPISODE 38,2022-02-10,315.0,112469,6255,242
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LÊ HUY | OFFICIAL EPISODE 37,2022-02-03,292.0,130239,6859,286
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | PHOTOSHOOT | OFFICIAL EPISODE 36,2022-01-27,320.0,137647,7683,347
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CƠN ÁC MỘNG | OFFICIAL EPISODE 35,2022-01-20,347.0,133061,7322,289
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MA ÂM | OFFICIAL EPISODE 34,2022-01-13,340.0,131605,7388,347
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MAKE OVER | OFFICIAL EPISODE 33,2022-01-06,314.0,129122,7539,355
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | KÝ HỢP ĐỒNG | OFFICIAL EPISODE 32,2021-12-30,284.0,111539,7080,272
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÔI ĐỒNG Ý | OFFICIAL EPISODE 31,2021-12-23,256.0,106308,6812,423
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÙNG FAKE TÙNG REAL | OFFICIAL EPISODE 30,2021-12-16,297.0,131327,8088,388
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LẾT XI TY | OFFICIAL EPISODE 29,2021-12-09,321.0,127017,8318,500
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | PAPARAZZI | OFFICIAL EPISODE 28,2021-12-02,367.0,122279,8213,372
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÔI LÀ QUẢN LÝ CỦA CẬU | OFFICIAL EPISODE 27,2021-11-25,386.0,122702,8257,441
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | VI PHẠM HỢP ĐỒNG | OFFICIAL EPISODE 26,2021-11-18,403.0,133224,9077,435
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỊ ĐIÊN HAY HỌ ĐIÊN  | OFFICIAL EPISODE 25,2021-11-11,392.0,129222,9441,486
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MR.D ĐẾN RỒI | OFFICIAL EPISODE 24,2021-11-04,330.0,135922,9312,532
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LỚP BỔ TÚC CỦA MY LAN | OFFICIAL EPISODE 23,2021-10-28,372.0,139417,9594,477
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MỘT ĐÊM KHÓ NGỦ | OFFICIAL EPISODE 22,2021-10-21,400.0,146493,10335,556
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | 3 NGƯỜI BỊ TÂM THẦN | OFFICIAL EPISODE 21,2021-10-14,344.0,141748,10100,567
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỦ NHÂN SỢ CHÓ! | OFFICIAL EPISODE 20,2021-09-23,336.0,182992,12367,775
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHUNG CƯ CỦA NGƯỜI NỔI TIẾNG | OFFICIAL EPISODE 19,2021-09-16,342.0,163702,11491,527
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐỪNG HÒNG CHIA CẮT CHÚNG TÔI | OFFICIAL EPISODE 18,2021-09-09,325.0,164542,11797,593
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | VỀ NHÀ | OFFICIAL EPISODE 17,2021-09-02,304.0,182652,12485,577
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | GẶP LẠI NHI LAN | OFFICIAL EPISODE 16,2021-08-26,370.0,189057,13279,669
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐẠI NAM | OFFICIAL EPISODE 15,2021-08-19,273.0,195623,13663,668
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | NÁO LOẠN Ở NGÃ 6 | OFFICIAL EPISODE 14,2021-08-12,256.0,201739,13757,684
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CẢI TRANG | OFFICIAL EPISODE 13,2021-08-05,261.0,184016,12359,653
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CẦM ĐỒ | OFFICIAL EPISODE 12,2021-07-29,336.0,180618,12766,559
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TRẦN TÙNG | OFFICIAL EPISODE 11,2021-07-22,319.0,195331,13337,768
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | THẾ GIỚI MỚI | OFFICIAL EPISODE 10,2021-07-09,379.0,290873,18225,1253
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐĂNG CƠ | OFFICIAL EPISODE 9,2021-07-01,359.0,286361,18225,1529
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TÂN ĐẾ | OFFICIAL EPISODE 8,2021-06-24,354.0,299754,18991,929
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | 10 NĂM ẨN NHẪN | OFFICIAL EPISODE 7,2021-06-17,329.0,302023,19673,1005
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | LIVE PERFORMANCE | LAZADA SUPERSHOW 6.6,2021-06-10,284.0,4146019,141415,9889
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | ĐẢO CHÍNH | OFFICIAL EPISODE 6,2021-06-10,320.0,303434,20857,1058
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | PHẾ THÁI TỬ | OFFICIAL EPISODE 5,2021-06-03,426.0,413199,27958,1358
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | BÃO TỐ SẮP ĐẾN | OFFICIAL EPISODE 4,2021-05-27,305.0,375448,27505,1268
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TRẦN ANH, TA ĐẾN TRỄ | OFFICIAL EPISODE 3",2021-05-20,433.0,560004,39504,1802
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | ONLINE STAGE,2021-05-17,354.0,4716146,183496,10674
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CHỜ THỜI CƠ | OFFICIAL EPISODE 2,2021-05-14,304.0,644991,50475,2549
SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | QUÀ MỪNG THỌ | OFFICIAL EPISODE 1,2021-05-12,409.0,1586571,127658,6189
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | MAKING MV,2021-05-10,341.0,3209159,184796,9782
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | OFFICIAL MUSIC VIDEO,2021-04-29,289.0,228230064,2644691,2031001
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | CALL TO ACTION,2021-04-15,80.0,2261099,127350,5814
SƠN TÙNG M-TP | MUỘN RỒI MÀ SAO CÒN | TEASING AUDIO,2021-04-13,46.0,4479068,243376,48624
Free Fire x Sơn Tùng M-TP | 'Skyler' Theme Song |  Official,2021-01-28,142.0,25527146,771372,127601
FREE FIRE x SƠN TÙNG M-TP | 'SKYLER' THEME SONG |  TEASER,2021-01-26,15.0,1933319,104630,9628
DỪNG LẠI HAY BỨT PHÁ | SƠN TÙNG M-TP x TIGER BEER,2021-01-19,45.0,1108227,81321,3874
SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | KARAOKE VERSION,2021-01-15,313.0,4011280,143701,6476
SƠN TÙNG M-TP | LẠC TRÔI COMIC | OFFICIAL TRAILER,2021-01-03,140.0,1382179,109904,3946
SƠN TÙNG M-TP | TIGER REMIX COUNTDOWN STAGE | 2021,2020-12-31,769.0,14898708,364367,23317
SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | MAKING MV,2020-12-30,1221.0,2904850,162390,8419
SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | OFFICIAL MUSIC VIDEO,2020-12-20,891.0,114316715,2284807,1128519
SƠN TÙNG M-TP | CHÚNG TA CỦA HIỆN TẠI | OFFICIAL TRAILER,2020-12-17,30.0,5377024,368013,33399
Son Tung M-TP | Stage Performance at TPBank Concert,2020-11-13,1266.0,6528380,147238,11184
SKY TOUR MOVIE | OFFICIAL TRAILER (NETFLIX VERSION),2020-08-29,45.0,791867,55248,2260
SKY TOUR MOVIE | GOING GLOBAL | STAY TUNED,2020-08-24,18.0,523101,47743,2558
M-TP TALENT | CASTING CALL | EXCLUSIVE ACTRESS,2020-08-16,53.0,1253692,84380,3623
Sơn Tùng M-TP x TPBank | MỘT TRẢI NGHIỆM 4.0 CHƯA TỪNG CÓ,2020-08-08,222.0,4929789,58379,3523
SƠN TÙNG M-TP | OPPO RENO4 LIVE PERFORMANCE,2020-08-02,645.0,3422478,159494,10167
SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY | ONLINE STAGE,2020-07-20,1281.0,3182528,231654,15901
SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY | MV MAKING,2020-07-13,450.0,5976321,335271,14928
SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY | OFFICIAL MUSIC VIDEO,2020-07-05,216.0,185846923,3357026,994887
SƠN TÙNG M-TP | CÓ CHẮC YÊU LÀ ĐÂY | OFFICIAL TRAILER,2020-06-29,42.0,11462729,693139,72808
SKY TOUR MOVIE | SƠN TÙNG M-TP | PREVIEW CLIP,2020-06-05,61.0,1662186,113152,4561
SKY TOUR MOVIE | SƠN TÙNG M-TP | OFFICIAL TRAILER,2020-05-31,78.0,2832370,219082,17252
LIVESTREAM | HỌP BÁO CÔNG TY M-TP ENTERTAINMENT | 18.12.2019,2019-12-18,5993.0,886558,41454,1730
SƠN TÙNG M-TP | HÃY TRAO CHO ANH | MV MAKING,2019-07-12,241.0,12885952,412873,13027
SƠN TÙNG M-TP | HÃY TRAO CHO ANH ft. Snoop Dogg | Official MV,2019-07-01,263.0,300840664,4187293,1259472
SKY TOUR 2019 | TRAILER,2019-06-17,89.0,1785775,93791,4786
SƠN TÙNG M-TP | LEVI'S 501 DAY STAGE | HÀ NỘI 2019,2019-05-31,726.0,5866161,139875,7387
"TÔI ĐÃ ""LÌ"" NHƯ THẾ ĐÓ! - SƠN TÙNG M-TP x PEPSI",2019-05-18,137.0,29390080,181937,10068
NẮNG ẤM XA DẦN (ONIONN REMIX) | SƠN TÙNG M-TP | Official Music,2019-04-04,203.0,22616500,382031,20424
CHẠY NGAY ĐI | SƠN TÙNG M-TP | TIGER REMIX STAGE VERSION | HỒ CHÍ MINH 31.12.2018,2019-01-02,410.0,4875310,113579,7015
CHẠY NGAY ĐI | SƠN TÙNG M-TP | FWD STAGE VERSION | HỒ CHÍ MINH 27.10.2018,2018-11-01,278.0,1896388,72731,5481
CHUYẾN ĐI CỦA THANH XUÂN | SƠN TÙNG M-TP x BITI’S HUNTER x NGUYỄN QUANG DŨNG | Official Short Film,2018-07-27,849.0,18095694,304339,31481
Điều Ý Nghĩa Nhất Cho Hôm Nay Là Gì? | Nhật Ký 05/07/2018 - Sơn Tùng M-TP,2018-07-08,1880.0,7698744,251566,17659
CHẠY NGAY ĐI (ONIONN REMIX)| RUN NOW (ONIONN REMIX) | SƠN TÙNG M-TP | Official Music Video,2018-07-04,317.0,42155536,556646,49271
CHẠY NGAY ĐI | SƠN TÙNG M-TP | LEVI'S STAGE VERSION | HỒ CHÍ MINH 20.05.2018,2018-05-29,292.0,6308230,141522,13882
Trực Tiếp: Countdown Ra Mắt Music Video Chạy Ngay Đi - Sơn Tùng M-TP,2018-05-11,1930.0,1907136,50525,1023
CHẠY NGAY ĐI | RUN NOW | SƠN TÙNG M-TP | Official Music Video,2018-05-11,274.0,163107934,1818012,994937
CHẠY NGAY ĐI | SƠN TÙNG M-TP - Official Trailer,2018-05-07,45.0,4531866,122832,11135
CHẠY NGAY ĐI | SƠN TÙNG M-TP - Teaser Trailer,2018-05-02,24.0,5135755,137342,13779
SonTungMTPVEVO Live Stream,2017-11-26,0.0,0,2,0
CHẠM TỚI GIẤC MƠ PHẦN 4 | SƠN TÙNG M-TP | COMING SOON,2017-09-29,263.0,473169,15130,702
CHẠM TỚI GIẤC MƠ PHẦN 3 | SƠN TÙNG M-TP | COMING SOON,2017-09-28,235.0,764810,18275,834
CHẠM TỚI GIẤC MƠ PHẦN 2 | SƠN TÙNG M-TP | COMING SOON,2017-09-26,228.0,630654,22318,807
CHẠM TỚI GIẤC MƠ PHẦN 1 | SƠN TÙNG M-TP | COMING SOON,2017-09-24,206.0,1307590,49655,3080
LẠC TRÔI (TRIPLE D REMIX) | 360 DEGREE MV |  SƠN TÙNG M-TP,2017-09-08,260.0,12829719,178733,9905
M-TP OFFICIAL ALBUM & FANSIGN IN HANOI | SƠN TÙNG M-TP,2017-04-09,198.0,481073,19210,1416
M-TP OFFICIAL ALBUM & FANSIGN IN HCM | SƠN TÙNG M-TP,2017-04-02,231.0,579231,20667,1838
UNBOXING ALBUM m-tp M-TP | SƠN TÙNG M-TP,2017-03-28,208.0,470995,17848,1272
ALBUM M-TP | SƠN TÙNG M-TP | TRAILER,2017-03-18,71.0,2585554,75508,5669
NƠI NÀY CÓ ANH | OFFICIAL MUSIC VIDEO | SƠN TÙNG M-TP,2017-02-13,279.0,418467254,2268205,317881
SƠN TÙNG M-TP PRIVATE YEAR END MEETING 2017,2017-02-12,4655.0,2719001,58455,3996
NƠI NÀY CÓ ANH | TEASER MUSIC VIDEO | SƠN TÙNG M-TP,2017-02-06,33.0,3547620,57973,3524
"Giữ Tết Truyền Thống, Sống Tết Hiện Đại",2017-01-27,21.0,273455,14907,759
UNBOXING 2017 NEW YEAR GIFT | SƠN TÙNG M-TP,2017-01-13,151.0,308217,14218,1908
Lạc Trôi | Making MV | Sơn Tùng M-TP,2017-01-07,590.0,5212720,128240,9780
LẠC TRÔI | PIANO VERSION | SƠN TÙNG M-TP,2017-01-04,169.0,2531227,49700,2893
LẠC TRÔI | OFFICIAL MUSIC VIDEO | SƠN TÙNG M-TP,2016-12-31,273.0,281153695,1877827,298562
Trực Tiếp: Họp Báo Ra Mắt Dự Án Âm Nhạc Lạc Trôi Và Mini Concert Sơn Tùng M-TP,2016-12-31,3906.0,1501997,18931,1417
LẠC TRÔI | TEASER MUSIC VIDEO | SƠN TÙNG M-TP,2016-12-16,39.0,2416715,32229,3348
SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 4,2016-11-22,1435.0,848195,16234,1274
SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 3,2016-11-20,1459.0,696841,16313,1208
SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 2,2016-11-18,1864.0,843594,16296,1317
SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | PART 1,2016-11-16,1463.0,1371281,26621,2514
SƠN TÙNG M-TP | LIVESHOW M-TP AMBITION | TRAILER,2016-11-12,214.0,316743,10488,998
Chúng Ta Không Thuộc Về Nhau | Official Music Video | Sơn Tùng M-TP,2016-08-02,243.0,237742902,1276009,211044
CHÚNG TA KHÔNG THUỘC VỀ NHAU | DEBUT ONSTAGE | LIVE STREAMING,2016-08-02,3284.0,1958514,23940,1431
Chúng Ta Không Thuộc Về Nhau | TEASER MUSIC VIDEO | Sơn Tùng M-TP,2016-07-26,36.0,2345045,23645,2652
Nắng Ấm Xa Dần - Sơn Tùng M-TP,2016-07-25,192.0,41133921,150041,6880
Thái Bình Mồ Hôi Rơi - Sơn Tùng M-TP,2016-07-25,319.0,13275869,120849,7710
Chắc Ai Đó Sẽ Về | Sơn Tùng M-TP | Stage Version | Đà Lạt,2016-02-23,286.0,180468,3158,122
Nắng Ấm Xa Dần | Sơn Tùng M-TP | Stage Version | Đà Lạt,2016-02-22,206.0,181423,3584,147
Buông Đôi Tay Nhau Ra | Sơn Tùng M-TP | Stage Version | Đà Lạt,2016-02-22,280.0,205675,2930,93
Fancam | Sơn Tùng M-TP Tại Sân Bay Đà Lạt 2016,2016-02-22,85.0,185938,3685,143
Khuôn Mặt Đáng Thương | Stage Version | Sơn Tùng M-TP,2016-02-02,245.0,328421,4900,162
Buông Đôi Tay Nhau Ra | Stage Version | Sơn Tùng M-TP,2016-02-02,314.0,253395,3327,142
Em Của Ngày Hôm Qua | Stage Version | Sơn Tùng M-TP,2016-02-02,391.0,168230,3258,214
VIRAL CLIP - MỘT NĂM MỚI BÌNH AN | SƠN TÙNG M-TP,2016-01-23,253.0,105254822,512280,38438
SƠN TÙNG M-TP | MỘT NĂM MỚI BÌNH AN [Teaser],2016-01-16,31.0,229525,5402,264
Buông Đôi Tay Nhau Ra | Stage Version | Sơn Tùng M-TP,2016-01-07,209.0,966232,8662,444
Em Của Ngày Hôm Qua | Stage Version | Sơn Tùng M-TP,2016-01-07,222.0,312747,4000,152
Sơn Tùng M-TP | Buổi Fan Meeting Tại Hà Nội,2016-01-07,372.0,193369,2975,108
Sơn Tùng M-TP | Không Còn Mùa Thu,2016-01-05,101.0,347024,5428,201
Sky Hát Tặng Sơn Tùng M-TP Fan Meeting In Hanoi,2016-01-05,110.0,102530,2935,142
Sơn Tùng M-TP Về Thăm Thái Bình,2016-01-03,239.0,840887,6617,330
Sơn Tùng M-TP | Buổi Họp Mặt Offline Tại Jollibee,2016-01-03,216.0,275773,4561,147
Sky Hát Tặng Sơn Tùng M-TP Tại Buổi Fan Meeting Thái Bình,2015-12-31,23.0,112468,2582,65
Sơn Tùng M-TP | Making The Show,2015-12-29,164.0,110530,3738,123
Sơn Tùng M-TP | Merry Christmas,2015-12-25,186.0,247517,6562,291
Đêm Trao Giải Làn Sóng Xanh lần thứ 18 - 2015 | Sơn Tùng M-TP,2015-12-21,122.0,309016,5443,229
Buổi Tập Luyện Làn Sóng Xanh 2015 | Sơn Tùng M-TP,2015-12-19,105.0,176808,4582,140
M-TP |  Tuyển tập các ca khúc Sơn Tùng | His Music Journey,2015-12-16,8998.0,16467576,117196,4842
Buông Đôi Tay Nhau Ra | OFFICIAL MUSIC VIDEO | Sơn Tùng M-TP,2015-12-02,290.0,160832429,748965,74953
SƠN TÙNG M-TP CHUẨN BỊ CHO RA BÀI HIT MỚI,2015-11-19,38.0,346243,4803,148
2015.10.08 SƠN TÙNG | HỌP BÁO Liveshow MTV Vietnam EMA Connection,2015-10-09,79.0,103168,3024,158
Âm Thầm Bên Em | OFFICIAL MUSIC VIDEO | Sơn Tùng M-TP,2015-08-21,850.0,167945777,933057,98510
TVC OISHI C+ | Sơn Tùng M-TP | 30'' version,2015-08-21,30.0,942748,9280,314
Âm Thầm Bên Em | Behind The Scenes,2015-08-17,157.0,868654,8305,496
Sơn Tùng M-TP | Âm Thầm Bên Em (Official MV Teaser),2015-08-06,60.0,1063632,10704,637
Âm Thầm Bên Em | Sơn Tùng M-TP | LIVE STREAMING | BẢN CHÍNH THỨC,2015-08-06,1180.0,5809955,39122,1681
Sơn Tùng M-TP | Tiến Lên Việt Nam Ơi! | Bản Chính Thức,2015-06-16,218.0,5226277,66222,3891
Sơn Tùng M-TP | Tiến Lên Việt Nam Ơi!  (TEASING VERSION),2015-06-12,34.0,385142,7509,385
Sơn Tùng M-TP: Save the date 05/07/2015,2015-05-21,137.0,568167,9416,550
MÓN QUÀ ĐẶC BIỆT CỦA M-TP (Phần 2),2015-04-25,993.0,1922224,18867,1730
MÓN QUÀ ĐẶC BIỆT CỦA M-TP (Phần 1),2015-04-23,719.0,2226489,21431,960
Sơn Tùng M-TP - Chắc Ai Đó Sẽ Về,2015-01-30,315.0,55852270,375436,31132
